,sample_id,grn_n,grn_mean,grn_sd,red_n,red_mean,red_sd
89403,19650440,10,233,158,10,520,432
89407,19650457,15,961,294,15,11720,2103
89409,19650473,13,16725,2088,13,25643,4443
89455,19651462,20,666,290,20,2444,687
89456,19651465,7,1025,439,7,3942,1494
89459,19651495,14,8545,876,14,1083,703
89467,19652317,19,1666,411,19,22293,2426
89472,19652333,13,1624,298,13,21715,1775
89473,19652334,10,20121,1392,10,9470,1388
89474,19652337,15,11646,871,15,1305,781
89477,19652340,9,2180,603,9,15432,1670
89485,19652373,13,8101,1289,13,523,187
89502,19652480,7,21277,1733,7,3240,637
89503,19652492,21,283,159,21,661,394
89506,19653316,6,3719,103,6,4225,868
89508,19653328,11,6453,1211,11,661,463
89510,19653331,20,7900,782,20,16828,1655
89520,19653378,5,1473,590,5,243,208
89521,19653379,12,11160,1083,12,2118,556
89523,19653402,8,6286,1015,8,1731,314
89524,19653403,18,4875,466,18,1263,459
89544,19653481,16,1455,84,16,27070,2587
89547,19653484,14,1886,281,14,23537,3265
89557,19654318,16,2550,428,16,29528,2465
89562,19654335,12,336,240,12,1151,450
89564,19654342,14,2961,500,14,29822,3701
89576,19654386,17,434,244,17,1119,454
89588,19654438,11,284,182,11,2105,775
89592,19654452,12,3295,469,12,783,372
89596,19654462,10,592,140,10,7990,911
89626,19655346,21,2205,701,21,19346,1717
89640,19655392,12,3772,569,12,833,416
89643,19655395,9,1129,293,9,714,470
89646,19655444,9,443,255,9,2047,599
89669,19656324,12,571,315,12,700,398
89672,19656334,11,826,275,11,9892,928
89676,19656341,11,5793,1193,11,2763,790
89678,19656343,17,5672,566,17,13432,1157
89682,19656356,13,288,184,13,640,287
89688,19656380,7,1037,410,7,22048,2317
89711,19656503,17,13314,958,17,7323,980
89733,19657424,12,2142,496,12,19167,1481
89735,19657430,11,12623,1545,11,1520,709
89743,19657448,10,1080,277,10,12315,1788
89747,19657473,15,884,231,15,22889,1940
89748,19657478,9,21404,2216,9,1511,701
89753,19657502,13,11882,1654,13,1370,637
89761,19658319,8,8224,1303,8,978,269
89768,19658340,11,2832,657,11,375,218
89771,19658354,12,4287,764,12,786,360
89786,19658393,13,10964,963,13,1557,478
89816,19659342,6,318,180,6,1834,511
89824,19659377,15,638,273,15,11743,1206
89825,19659380,9,1205,300,9,20863,2685
89840,19659469,15,452,307,15,722,537
89852,19660331,18,341,186,18,6311,1304
89853,19660332,11,1496,513,11,22724,1619
89869,19660416,15,1401,304,15,20281,1837
89872,19660422,16,835,324,16,17053,3157
89880,19660434,7,2992,548,7,19806,2745
89892,19660477,13,899,399,13,14981,1348
89893,19660478,16,299,186,16,575,271
89901,19660510,12,1641,253,12,17057,2150
89902,19661300,10,480,322,10,664,464
89922,19661372,16,451,298,16,7905,1423
89927,19661387,10,2558,240,10,10598,1354
89929,19661389,4,3609,108,4,592,363
89963,19662327,11,18437,1451,11,2792,910
89972,19662373,6,10025,1364,6,1053,397
89974,19662380,18,16664,2041,18,2893,984
89989,19662452,14,377,184,14,1466,531
89999,19662500,13,10248,1288,13,4894,1002
90000,19662509,12,6126,666,12,1995,632
90005,19663311,5,279,60,5,555,191
90025,19663382,10,22147,2048,10,11942,1546
90037,19663458,7,17438,1127,7,2181,900
90045,19663490,7,23054,2610,7,5969,1296
90055,19664317,17,1610,467,17,21856,3049
90082,19664459,10,728,292,10,11557,1422
90112,19665359,11,455,230,11,531,427
90143,19666350,7,634,301,7,441,248
90149,19666402,16,5824,1162,16,491,267
90155,19666417,15,1788,397,15,4450,791
90165,19666445,23,347,202,23,443,342
90189,19667336,2,1326,101,2,4271,674
90192,19667352,9,6453,796,9,983,560
90199,19667408,10,1573,260,10,20861,2625
90202,19667413,25,13518,1137,25,6450,983
90225,19667506,19,13344,1041,19,1674,863
90227,19668302,12,7793,1441,12,1808,608
90233,19668314,13,4156,718,13,831,615
90243,19668341,12,1100,362,12,17541,1929
90248,19668354,12,698,417,12,4055,1163
90253,19668367,9,242,66,9,1768,767
90255,19668373,16,18061,1116,16,3326,814
90257,19668376,13,1010,337,13,3294,806
90280,19669305,13,15715,1017,13,1060,829
90291,19669401,16,2062,560,16,27261,2612
90309,19669442,12,437,222,12,2010,434
90310,19669446,11,679,235,11,3669,1103
90342,19670402,16,1023,283,16,19477,2975
90360,19670448,9,1552,481,9,18935,2389
90390,19671379,8,422,195,8,1080,238
90406,19671431,16,558,276,16,5347,1019
90422,19671496,13,13196,1102,13,19385,1442
90427,19672301,11,7059,1051,11,4823,943
90439,19672378,17,5469,735,17,631,224
90447,19672418,8,16028,858,8,2389,720
90454,19672429,17,831,361,17,9575,2260
90478,19672502,8,259,135,8,1628,407
90508,19673397,10,1861,462,10,24597,1668
90529,19673495,10,8710,1046,10,1360,311
90546,19674371,9,14482,1444,9,2735,880
90550,19674403,13,6577,974,13,929,668
90552,19674415,7,9463,933,7,1228,377
90554,19674418,12,1810,352,12,10146,1171
90586,19675353,9,853,355,9,15965,1658
90596,19675414,10,6431,831,10,31296,1408
90601,19675427,10,245,130,10,839,211
90634,19676370,11,432,135,11,17814,1210
90652,19676431,13,14785,1316,13,4463,1058
90654,19676434,12,3176,554,12,33518,2247
90667,19676473,12,14276,1679,12,2842,1136
90674,19676498,12,1965,373,12,22196,1532
90679,19676508,16,9211,1313,16,14395,2012
90691,19677365,14,7509,800,14,12758,1356
90693,19677400,10,981,398,10,28302,2747
90706,19677434,13,277,219,13,707,478
90716,19677483,14,7822,1281,14,3226,974
90743,19678337,12,469,197,12,7718,1382
90748,19678354,15,5349,685,15,6770,1194
90768,19678452,10,13563,1384,10,1331,308
90773,19678466,15,865,172,15,22400,2160
90782,19679302,7,1445,111,7,20716,1596
90783,19679303,18,1300,235,18,19625,2362
90802,19679362,13,13008,924,13,4737,1036
90805,19679383,10,1091,348,10,21016,2149
90826,19679487,13,1702,590,13,17087,2875
90844,19680370,21,10524,1124,21,4515,1040
90851,19680407,12,1515,504,12,24450,1543
90853,19680410,18,8402,1014,18,1371,584
90856,19680417,16,12444,1413,16,3440,522
90883,19681305,11,244,131,11,816,357
90904,19681417,14,236,132,14,360,304
90916,19681448,14,1419,325,14,24530,2545
90951,19682429,21,2174,438,21,996,509
90953,19682431,6,19939,1160,6,7967,1382
90969,19682501,16,17311,1260,16,3099,690
90980,19683330,13,12827,1588,13,4329,1245
90996,19683408,9,4207,770,9,875,439
91003,19683424,9,2450,456,9,6551,1241
91007,19683431,11,8393,1215,11,757,356
91028,19683504,12,253,201,12,499,393
91036,19684331,7,1333,419,7,17434,1744
91040,19684365,11,13271,1335,11,1677,638
91043,19684400,14,14396,1315,14,5890,1145
91051,19684419,9,283,196,9,336,192
91075,19684501,14,4312,575,14,835,444
91084,19685331,10,13105,1440,10,5365,448
91097,19685402,7,1968,601,7,22002,3219
91103,19685412,9,14848,954,9,1920,1097
91118,19685443,9,16141,923,9,4426,888
91122,19685464,8,3028,412,8,812,605
91123,19685471,10,1501,480,10,21621,1445
91128,19685482,11,1914,297,11,734,459
91141,19686328,12,9575,962,12,2676,804
91173,19686464,6,18103,514,6,7853,2063
91179,19686497,17,3651,734,17,771,536
91187,19687316,14,3313,527,14,1626,429
91214,19687436,22,309,229,22,521,405
91225,19687482,12,1727,414,12,25551,1560
91236,19688313,19,8019,946,19,18126,2632
91244,19688378,19,17401,2003,19,5973,1531
91253,19688417,16,14719,1007,16,2879,817
91258,19688425,17,3576,604,17,26764,2703
91266,19688442,13,10599,1320,13,3807,852
91284,19689313,16,11632,1288,16,2468,730
91297,19689400,15,759,192,15,19492,1936
91298,19689402,7,1932,580,7,11188,1962
91311,19689428,7,1140,371,7,24885,1708
91322,19689488,8,15402,1653,8,2716,597
91324,19689496,13,3057,532,13,16756,2527
91331,19690313,8,6366,1098,8,2628,514
91366,19690476,13,3030,581,13,893,746
91370,19690482,12,1553,389,12,20458,1663
